Trigger Time: 999.6875 ms
time,x,y,z
349.6875,24,-12,-28
350,26,0,-34
350.3125,40,0,-14
350.625,30,-4,-38
350.9375,42,-6,0
351.25,28,6,-28
351.5625,42,0,-30
351.875,22,0,-24
352.1875,22,18,-24
352.5,24,2,-22
352.8125,22,0,-34
353.125,34,0,-20
353.4375,44,0,-20
353.75,24,0,-18
354.0625,34,0,0
354.375,30,8,-12
354.6875,36,0,-28
355,28,-8,-44
355.3125,24,0,-30
355.625,30,-4,-24
355.9375,30,0,-34
356.25,22,4,-30
356.5625,32,-8,-26
356.875,38,2,-10
357.1875,30,0,-48
357.5,18,-14,-40
357.8125,18,0,-20
358.125,32,-14,-40
358.4375,18,-14,-32
358.75,30,-6,-34
359.0625,30,0,-32
359.375,34,0,-16
359.6875,32,0,-32
360,38,0,-36
360.3125,34,0,-16
360.625,18,0,-34
360.9375,42,-8,-14
361.25,28,8,-30
361.5625,40,12,-12
361.875,28,0,-30
362.1875,24,0,-36
362.5,24,-6,-32
362.8125,32,2,-32
363.125,24,-8,-34
363.4375,32,-14,-24
363.75,32,0,-30
364.0625,14,10,-62
364.375,30,0,2
364.6875,42,-10,-38
365,34,4,-24
365.3125,30,-8,-28
365.625,42,0,-20
365.9375,26,0,-28
366.25,30,4,-20
366.5625,44,0,-26
366.875,30,0,-40
367.1875,30,0,-26
